addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
FFDA,7,standalone,FFDA,7,FFDA,7,1,0x01,control
E122,7,standalone,E122,7,E122,7,1,0x01,control
E1ED,7,standalone,E1ED,7,E1ED,7,1,0x01,control
CE02,7,standalone,CE02,7,CE02,7,124,0x23,control|ptr_scan|xbank
E185,7,standalone,E185,7,E122,7,3,0x03,control|ptr_scan
CF4F,7,standalone,CF4F,7,CF4F,7,5,0x03,control|ptr_scan
CF39,7,standalone,CF39,7,CF39,7,5,0x03,control|ptr_scan
E1EE,7,standalone,E1EE,7,E1EE,7,3,0x03,control|ptr_scan
E157,7,standalone,E157,7,E122,7,3,0x03,control|ptr_scan
E18C,7,standalone,E18C,7,E18C,7,3,0x03,control|ptr_scan
CF65,7,standalone,CF65,7,CF65,7,32,0x03,control|ptr_scan
A670,0,standalone,A670,0,A670,0,16,0x20,xbank
A670,1,standalone,A670,1,A670,1,31,0x24,table_run|xbank
A670,2,standalone,A670,2,A670,2,16,0x20,xbank
A670,3,standalone,A670,3,A670,3,16,0x20,xbank
A670,4,standalone,A670,4,A670,4,16,0x20,xbank
A670,5,standalone,A670,5,A670,5,16,0x20,xbank
A670,6,standalone,A670,6,A670,6,16,0x20,xbank
9E77,0,standalone,9E77,0,9E77,0,5,0x20,xbank
9E77,1,standalone,9E77,1,9E77,1,5,0x20,xbank
9E77,2,standalone,9E77,2,9E77,2,5,0x20,xbank
9E77,3,standalone,9E77,3,9E77,3,5,0x20,xbank
9E77,4,standalone,9E77,4,9E77,4,5,0x20,xbank
9E77,5,standalone,9E77,5,9E77,5,5,0x20,xbank
9E77,6,standalone,9E77,6,9E77,6,5,0x20,xbank
CF69,7,standalone,CF69,7,CF65,7,46,0x03,control|ptr_scan
CF12,7,standalone,CF12,7,CF12,7,8,0x03,control|ptr_scan
CF16,7,standalone,CF16,7,CF16,7,12,0x03,control|ptr_scan
CECF,7,standalone,CECF,7,CECF,7,18,0x03,control|ptr_scan
809B,0,standalone,809B,0,809B,0,35,0x24,table_run|xbank
809B,1,standalone,809B,1,809B,1,27,0x20,xbank
809B,2,standalone,809B,2,809B,2,27,0x20,xbank
809B,3,standalone,809B,3,809B,3,27,0x20,xbank
809B,4,standalone,809B,4,809B,4,27,0x20,xbank
809B,5,standalone,809B,5,809B,5,27,0x20,xbank
809B,6,standalone,809B,6,809B,6,27,0x20,xbank
A37C,0,standalone,A37C,0,A37C,0,21,0x20,xbank
A37C,1,standalone,A37C,1,A37C,1,21,0x20,xbank
A37C,2,standalone,A37C,2,A37C,2,21,0x20,xbank
A37C,3,standalone,A37C,3,A37C,3,21,0x20,xbank
A37C,4,standalone,A37C,4,A37C,4,21,0x20,xbank
A37C,5,standalone,A37C,5,A37C,5,21,0x20,xbank
A37C,6,standalone,A37C,6,A37C,6,21,0x20,xbank
EE2C,7,standalone,EE2C,7,EE2C,7,4,0x03,control|ptr_scan
D0BF,7,standalone,D0BF,7,CF8A,7,8,0x03,control|ptr_scan
CF7F,7,standalone,CF7F,7,CF7F,7,49,0x27,control|ptr_scan|table_run|xbank
CCA8,7,standalone,CCA8,7,CCA8,7,4,0x03,control|ptr_scan
D0F2,7,standalone,D0F2,7,CF8A,7,4,0x03,control|ptr_scan
A723,1,standalone,A723,1,A723,1,7,0x20,xbank
846B,0,standalone,846B,0,846B,0,100,0x24,table_run|xbank
9C02,0,standalone,9C02,0,9C02,0,7,0x24,table_run|xbank
9F5C,0,standalone,9F5C,0,9F5C,0,4,0x24,table_run|xbank
A60E,1,standalone,A60E,1,A60E,1,3,0x20,xbank
A642,1,standalone,A642,1,A642,1,9,0x20,xbank
9EE7,1,standalone,9EE7,1,9EE7,1,3,0x20,xbank
CF23,7,standalone,CF23,7,CF23,7,11,0x27,control|ptr_scan|table_run|xbank
8006,0,standalone,8006,0,8006,0,7,0x20,xbank
8006,1,standalone,8006,1,8006,1,7,0x20,xbank
8006,2,standalone,8006,2,8006,2,7,0x20,xbank
8006,3,standalone,8006,3,8006,3,7,0x20,xbank
8006,4,standalone,8006,4,8006,4,7,0x20,xbank
8006,5,standalone,8006,5,8006,5,7,0x20,xbank
8006,6,standalone,8006,6,8006,6,7,0x20,xbank
80BA,0,standalone,80BA,0,80BA,0,7,0x20,xbank
80BA,1,standalone,80BA,1,80BA,1,7,0x20,xbank
80BA,2,standalone,80BA,2,80BA,2,7,0x20,xbank
80BA,3,standalone,80BA,3,80BA,3,7,0x20,xbank
80BA,4,standalone,80BA,4,80BA,4,7,0x20,xbank
80BA,5,standalone,80BA,5,80BA,5,7,0x20,xbank
80BA,6,standalone,80BA,6,80BA,6,7,0x20,xbank
F6B3,7,standalone,F6B3,7,F6B3,7,7,0x03,control|ptr_scan
E5C0,7,secondary,E449,7,E449,7,32,0x20,xbank
E610,7,secondary,E449,7,E449,7,35,0x20,xbank
E601,7,secondary,E449,7,E449,7,52,0x20,xbank
E600,7,standalone,E600,7,E600,7,48,0x20,xbank
E501,7,secondary,E449,7,E449,7,48,0x20,xbank
E500,7,standalone,E500,7,E500,7,48,0x20,xbank
B1E5,1,standalone,B1E5,1,B1E5,1,24,0x20,xbank
E400,7,standalone,E400,7,E400,7,26,0x20,xbank
B0E5,1,standalone,B0E5,1,B0E5,1,48,0x20,xbank
DC21,7,standalone,DC21,7,CF8A,7,30,0x23,control|ptr_scan|xbank
B0E6,1,standalone,B0E6,1,B0E6,1,24,0x20,xbank
D16E,7,secondary,CF8A,7,CF8A,7,36,0x24,table_run|xbank
8000,0,standalone,8000,0,8000,0,2,0x20,xbank
A381,0,standalone,A381,0,A381,0,2,0x20,xbank
A5D6,1,standalone,A5D6,1,A5D6,1,19,0x24,table_run|xbank
D02A,7,standalone,D02A,7,CF8A,7,5,0x03,control|ptr_scan
CD1F,7,standalone,CD1F,7,CCA8,7,4,0x03,control|ptr_scan
CD38,7,standalone,CD38,7,CD38,7,24,0x03,control|ptr_scan
A6FE,1,standalone,A6FE,1,A6FE,1,1,0x20,xbank
A720,1,standalone,A720,1,A720,1,1,0x20,xbank
806A,0,standalone,806A,0,806A,0,210,0x24,table_run|xbank
E449,7,standalone,E449,7,E449,7,50,0x27,control|ptr_scan|table_run|xbank
EFD1,7,standalone,EFD1,7,EFD1,7,51,0x27,control|ptr_scan|table_run|xbank
920F,0,standalone,920F,0,920F,0,21,0x24,table_run|xbank
84AF,0,standalone,84AF,0,84AF,0,15,0x24,table_run|xbank
A66C,1,standalone,A66C,1,A66C,1,3,0x20,xbank
A56C,1,standalone,A56C,1,A56C,1,19,0x20,xbank
A047,1,standalone,A047,1,A047,1,22,0x20,xbank
A5E8,1,standalone,A5E8,1,A5E8,1,60,0x24,table_run|xbank
A897,1,standalone,A897,1,A897,1,3,0x20,xbank
9EE6,1,standalone,9EE6,1,9EE6,1,3,0x20,xbank
9FB8,1,standalone,9FB8,1,9FB8,1,9,0x20,xbank
A5A8,1,standalone,A5A8,1,A5A8,1,33,0x24,table_run|xbank
9FB0,1,standalone,9FB0,1,9FB0,1,6,0x20,xbank
A023,1,standalone,A023,1,A023,1,5,0x20,xbank
A02D,1,standalone,A02D,1,A02D,1,10,0x20,xbank
800D,0,standalone,800D,0,800D,0,1,0x20,xbank
80A4,0,standalone,80A4,0,80A4,0,2,0x20,xbank
E650,7,secondary,E449,7,E449,7,1,0x20,xbank
80B3,1,standalone,80B3,1,80B3,1,3,0x20,xbank
EDBD,7,standalone,EDBD,7,EDBD,7,316,0x22,ptr_scan|xbank
EDD0,7,secondary,E449,7,E449,7,159,0x22,ptr_scan|xbank
E5D5,7,secondary,E449,7,E449,7,11,0x22,ptr_scan|xbank
859E,0,standalone,859E,0,859E,0,20,0x20,xbank
859E,1,standalone,859E,1,859E,1,20,0x20,xbank
859E,2,standalone,859E,2,859E,2,20,0x20,xbank
859E,3,standalone,859E,3,859E,3,20,0x20,xbank
859E,4,standalone,859E,4,859E,4,20,0x20,xbank
859E,5,standalone,859E,5,859E,5,20,0x20,xbank
859E,6,standalone,859E,6,859E,6,20,0x20,xbank
86F3,0,standalone,86F3,0,86F3,0,19,0x20,xbank
86F3,1,standalone,86F3,1,86F3,1,19,0x20,xbank
86F3,2,standalone,86F3,2,86F3,2,19,0x20,xbank
86F3,3,standalone,86F3,3,86F3,3,19,0x20,xbank
86F3,4,standalone,86F3,4,86F3,4,19,0x20,xbank
86F3,5,standalone,86F3,5,86F3,5,19,0x20,xbank
86F3,6,standalone,86F3,6,86F3,6,19,0x20,xbank
B0DF,1,standalone,B0DF,1,B0DF,1,2,0x20,xbank
DC4E,7,standalone,DC4E,7,CF8A,7,7,0x23,control|ptr_scan|xbank
DC67,7,standalone,DC67,7,CF8A,7,10,0x23,control|ptr_scan|xbank
DC5C,7,standalone,DC5C,7,CF8A,7,10,0x23,control|ptr_scan|xbank
DD36,7,standalone,DD36,7,CF8A,7,10,0x23,control|ptr_scan|xbank
DCD1,7,standalone,DCD1,7,CF8A,7,12,0x23,control|ptr_scan|xbank
DDA2,7,standalone,DDA2,7,CF8A,7,12,0x23,control|ptr_scan|xbank
D2D8,7,standalone,D2D8,7,CF8A,7,14,0x23,control|ptr_scan|xbank
D203,7,standalone,D203,7,CF8A,7,8,0x23,control|ptr_scan|xbank
802B,0,standalone,802B,0,802B,0,50,0x20,xbank
802B,1,standalone,802B,1,802B,1,48,0x20,xbank
802B,2,standalone,802B,2,802B,2,48,0x20,xbank
802B,3,standalone,802B,3,802B,3,48,0x20,xbank
802B,4,standalone,802B,4,802B,4,48,0x20,xbank
802B,5,standalone,802B,5,802B,5,48,0x20,xbank
802B,6,standalone,802B,6,802B,6,48,0x20,xbank
CF8A,7,standalone,CF8A,7,CF8A,7,45,0x03,control|ptr_scan
CDB4,7,standalone,CDB4,7,CDB4,7,12,0x03,control|ptr_scan
A7B9,1,standalone,A7B9,1,A7B9,1,4,0x20,xbank
E51F,7,secondary,E449,7,E449,7,1,0x20,xbank
920E,0,standalone,920E,0,920E,0,1,0x20,xbank
925A,0,standalone,925A,0,925A,0,1,0x20,xbank
92A4,0,standalone,92A4,0,92A4,0,6,0x20,xbank
9286,0,standalone,9286,0,9286,0,2,0x20,xbank
A12B,1,standalone,A12B,1,A12B,1,4,0x20,xbank
A58B,1,standalone,A58B,1,A58B,1,8,0x20,xbank
A598,1,standalone,A598,1,A598,1,4,0x20,xbank
A622,1,standalone,A622,1,A622,1,4,0x20,xbank
A632,1,standalone,A632,1,A632,1,4,0x20,xbank
A97B,1,standalone,A97B,1,A97B,1,16,0x20,xbank
A958,1,standalone,A958,1,A958,1,8,0x20,xbank
